name	state	fips	metro	immigration	native	white	black	male	population	elevation	high_temp	low_temp	diurnal_temp	particulate	precipitation	sunlight	uvb	smoking	smoking_lower	smoking_upper	female_smoking	male_smoking	radon	drinking	meat	diabetes	obesity	education	income	mammogram	all_cancer	all_cancer_male	all_cancer_female	colorectal	colorectal_lower	colorectal_upper	breast	breast_lower	breast_upper	prostate	prostate_lower	prostate_upper	lung	lung_lower	lung_upper	female_lung	male_lung	over_65_lung	under_65_lung
Boulder, CO	CO	08013	1	34.8923531066532	1.2	90.5	1.2	50.5561506138255	291288	1.64471	13.206389	2.756825	10.449564	9.572440	1.351816	16756.139787	1284.735786323	44.5	40.1	48.95	43.25	45.75	2.68	17	55	4.1	12.3	57.0	64.839	71.8	434.8	477.6	405.5	38.5	35	42.3	138.9	130.2	148.2	168.7	157.9	180	39.3	35.6	43.3	36.6	44	248.9	9
Broomfield, CO	CO	08014	1																					14		4.68	18.3	44.4	75.59		479.3	555.5	424.9	54.3	43.3	67	130	109	153.9	142.6	117.8	170.9	64.2	51.9	78.3	54.7	78.7	434.4	10.7
Chaffee, CO	CO	08015	0	30.4940813175502	1.9	92.5	1.7	53.1769486516439	16242	2.51958	7.364165	-2.307223	9.671388	8.728421	1.228969	17329.044997	1493.206429779	50.9	44.95	56.8	43.85	58.2	1.84	14	55	4.46	15.8	33.3	42.941	64.1	425.2	498.4	371.3	31	22.1	43	100.4	74.2	133.9	175.3	143.7	212.8	39	28.8	52.3	41.8	33.8	239.2	
Cheyenne, CO	CO	08017	0	20.4784688995215	1.1	93.5	0.5	50.1568803227252	2231	1.31709	18.157061	6.768076	11.388985	10.240797	1.188800	17485.587088	1146.351319331	36.65	28	45.25	32.8	40.45	4.25		69	4.72	15.3	18.5	47.125	59.9	374.2	488.1	287.6																
Clear Creek, CO	CO	08019	1	34.5496009122007	1.3	97.5	0.4	52.1025531001931	9322	2.91594	5.556934	-4.022357	9.579291	9.242937	1.688115	16539.379620	1369.355882454	48.95	42.7	55.15	45.45	52.15	3.33	13	55	4.76	15	41.6	60.426	73.2	444	496.1	381.7	45.1	23.3	77.8	138.3	86.3	209.9	194.3	136.5	269.3	55.9	32.2	89.9				
Conejos, CO	CO	08021	0	14.8148148148148	2.6	76.1	0.3	49.6309523809524	8400	2.39789	10.980211	1.119691	9.86052	8.891501	1.315082	18273.047354	1480.440287054	43.4	35.6	51.2	34.8	52.15	2.84		69	4.94	15.7	18.7	33.627	45.0	308.7	402.5	229.1				62.4	35.1	103.8	110.8	72.7	163.2							
Costilla, CO	CO	08023	0	23.3833718244804	4.1	65.5	1.2	49.95904995905	3663	2.66082	11.231514	1.301496	9.930018	9.233017	1.207329	17443.211518	1418.31527035	47.3	39.1	55.4	41.6	53.15	2.98		69	5.24	15.5	14.3	24.388	52.0	330.9	362.1	292.7	54.7	31.1	95.5													
Crowley, CO	CO	08025	0	47.2137983320698	3.6	84.7	7.1	67.2526277636825	5518	1.3532	19.364033	7.415827	11.948206	9.901656	0.889683	18056.659155	1177.577657593	45.3	37.25	53.3	39.95	50.95	3.55		69	5.56	18.5	12.2	38.189	55.9	396.9	417.1	385.2							147.7	86.5	235.1	68.8	39.6	111.3				
Custer, CO	CO	08027	0	40.4582454024721	2.1	97.4	0.6	51.0419640308307	3503	2.65372	10.543220	0.536844	10.006376	9.370759	1.479081	17402.695189	1420.35571925	44.15	36.35	52.05	40.6	47.75	2.98	16	69	4.92	15.2	29.2	39.909	72.3	463.1	419	510.2				140.8	78.6	243.6	141.2	90.5	223.6							
Delta, CO	CO	08029	0	27.8367845954	1.7	94.0	0.6	50.1976000574837	27834	1.82309	13.991277	3.751201	10.240076	8.375133	1.350833	17119.778953	1363.46205517	50.05	44.35	55.75	43.6	56.9	2.91	11	69	4.94	15.1	18.3	40.451	61.6	410.7	494.7	341.4	31.5	24.5	40.2	100.7	82.4	122.4	157.4	135	183.1	57.6	48.1	68.6	44.2	73.8	358.6	14
Denver, CO	CO	08031	1	33.0053793474038	2.2	68.3	12.1	50.5208821641581	556013	1.63732	17.082162	6.131859	10.950303	9.530991	1.202140	17101.769773	1194.016123373	45	41.55	48.4	39.6	50.35	2.94	21	55	5.06	14.1	40.1	45.501	66.9	438.9	498.7	401.9	42.9	40.4	45.5	131.2	125.2	137.5	136.9	130.1	144	51.5	48.7	54.4	46.1	59.5	303.3	15
Dolores, CO	CO	08033	0	30.1142857142857	2.6	96.8	0.3	51.7353579175705	1844	2.17089	10.308332	1.491231	8.817101	7.833656	1.664957	17422.003495	1347.600829738	53.05	43.85	62.2	50.4	55.55	1.67		69	4.7	15	14.9	43.058	48.0	395.2	391.3	390.8																
Douglas, CO	CO	08035	1	53.9650948209078	0.8	94.5	1.3	49.9197797071106	175766	1.83924	13.939735	3.392303	10.547432	9.311138	1.303111	17188.302564	1225.108638254	34	29.2	38.85	29.75	38.35	3.36	16	55	4.22	12.9	54.4	99.198	81.8	429	460.9	402.5	36	31.5	40.9	134.7	124.4	145.5	148.2	135.7	161.5	47.6	42.2	53.4	49.8	46.8	312	9.3
Eagle, CO	CO	08037	0	41.0729945834408	1.0	87.2	0.5	54.7612760747978	41659	2.68948	8.220236	-1.595841	9.816077	8.839857	1.457653	16712.280031	1462.895500426	34.45	28.7	40.3	27.9	39.7	3.2	23	55	4.22	12.9	45.9	71.337	80.1	410.8	447.3	371.2	24.2	15	36.4	122.9	97.5	153	172.1	138.4	210.9	33.8	22.3	48.6	30.2	35.2	202.3	9.5
Elbert, CO	CO	08039	1	46.5602493819198	1.4	96.9	0.9	50.1509661835749	19872	1.95557	15.526611	5.009324	10.517287	9.668452	1.150012	17456.169137	1144.745899848	40.4	34.1	46.7	36.4	44.35	2.79	14	55	4.5	15.2	29.2	78.958	77.9	410.6	441.6	372.9	26.2	16.2	39.9	120.9	93.1	155	151.5	117.6	192.3	51.6	36.3	70.7	35.1	66.9	297.2	16
El Paso, CO	CO	08041	1	32.4003163762366	2.0	84.5	7.7	50.2192757612748	516929	1.94199	15.455495	5.081717	10.373778	9.489424	1.150659	17608.402760	1184.017407075	48.6	44.8	52.3	46.65	50.6	2.37	15	55	5.42	16.6	34.9	56.268	72.1	454.5	526.1	406.7	39.2	36.7	41.8	123.1	117.4	129	178	170.1	186.2	49.8	46.9	52.7	43.9	58.3	300.2	13.5
Fremont, CO	CO	08043	0	39.1685250079643	2.6	91.2	5.5	57.2478058294506	46145	1.7424	13.466091	2.741909	10.724182	9.192825	1.058101	17499.739814	1407.856721775	52.75	46.95	58.5	44.3	61.95	3.31	13	69	5.52	17.3	16.2	37.847	62.5	463	550.1	409.7	39.4	32.7	47.3	117	99.3	137.2	143.8	125.1	164.5	67.2	58.4	77.2	56.7	81.4	384.6	21.3
Garfield, CO	CO	08045	0	32.8309532045264	1.3	91.7	0.7	51.3553013176223	43791	2.03862	10.786066	1.179915	9.606151	8.892715	1.787904	17133.244727	1315.721591348	45.65	40.15	51.2	39.85	51.3	2.51	17	69	4.66	13.5	24.4	64.902	63.8	420.8	480.8	367.8	30.5	23.3	39.1	131.4	111	154.4	168.2	143.6	195.7	51	41.3	62.2	49.3	55.4	326.2	11.2
Gilpin, CO	CO	08047	1	50.7023411371237	2.0	96.1	0.7	52.9955854530166	4757	2.81382	8.876771	-1.025717	9.902488	9.379288	1.567857	16511.960415	1369.355882454	45.55	38.95	52.2	41	49.55	3.05		55	4.88	16	33.7	58.036	79.3	468.3	438	505.9				125.9	66.8	219	123.2	66.3	211							
Grand, CO	CO	08049	0	37.4648367573097	0.8	96.3	0.6	52.98987301077	12442	2.78515	7.104451	-2.436269	9.54072	9.386936	1.694599	16711.738337	1366.282414133	49.25	43.35	55.2	45.25	52.8	3.13		55	4.64	15.2	28.8	60.433	69.3	390.3	443.6	337				106.2	73.6	149.4	145.4	102.4	200.3	40.3	22.9	64.8				
Gunnison, CO	CO	08051	0	37.8250413347362	1.4	96.7	0.7	54.1917454858126	13956	2.67836	7.944839	-1.491174	9.436013	8.490021	1.533785	17270.298435	1460.169752377	44.05	38	50.1	40.2	47.25	2.53	23	69	4.38	14.8	45.8	49.356	73.6	366.8	389.8	351.2	33.6	19.7	53.3	107.6	73.7	151.9	153.7	110.9	207.4	33.6	19.4	53.6				
Hinsdale, CO	CO	08053	0	33.0188679245283	1.8	97.8	0.1	51.3924050632911	790	3.32885	5.625641	-3.737934	9.363575	8.676428	1.945470	17230.567656	1482.070719249	57.6	50.1	65.05	54.55	60.35	2.67		69	4.82	16.6	42.0	74.659	62.6	432.7	588.1																	
Huerfano, CO	CO	08055	0	30.7774227902023	4.6	84.4	3.0	54.2991605189519	7862	2.06488	13.971934	3.535385	10.436549	9.616414	1.261523	17658.786626	1325.059024063	52.25	45.45	59.15	47.1	57.8	4.04		69	5.18	16.8	27.2	30.058	54.8	464.4	615.8	332.6	62.4	42.7	89.5	109	70.8	164.8	169.8	123.8	229.3	57.3	39.9	81.4		92.6	397.7	
Jackson, CO	CO	08057	0	24.1610738255034	1.4	97.5	0.3	50.3487634749524	1577	2.58904	7.603652	-2.104730	9.708382	9.669587	1.713227	16778.801607	1384.487892562	53.85	47.5	60.25	47.65	59.65	3.54	16	69	5.26	13.5	21.7	37.222	62.7	326.7	511.9																	
Jefferson, CO	CO	08059	1	28.1037920111726	1.5	92.6	1.2	49.7512598281777	528130	1.76535	13.787095	3.244823	10.542272	9.324259	1.320433	16851.216215	1369.355882454	47.4	43.85	51.05	43.65	51.35	3.32	17	55	4.74	13.9	39.3	66.075	69.0	424.5	468.6	394	37.6	35.3	40	132.7	127	138.7	137.1	130.7	143.7	48.2	45.6	51	44.3	53.9	287.9	13.5
Kiowa, CO	CO	08061	0	17.1578258022266	1.7	96.7	0.5	50	1622	1.28016	19.056753	7.192974	11.863779	10.203755	1.097424	17728.250179	1155.525372435	46.2	38.3	54.1	39.9	52.7	4.17		69	4.88	16.2	20.1	40.089	62.8	500	534.1	512.1																
Kit Carson, CO	CO	08063	0	25.1296370163542	0.9	88.1	1.8	52.8772937211334	8011	1.31318	17.529625	6.419306	11.110319	10.225594	1.303023	17236.531521	1105.025590138	42.6	35.95	49.25	33.8	51.7	4.25	11	69	5.12	17.9	14.9	41.678	62.6	391.3	416.6	379.6	34.9	19.9	57.2	131.8	87.3	192.8	116.8	78.6	167.9	64.3	43.6	92		73.1	361.9	
Lake, CO	CO	08065	0	35.0048617863592	2.2	80.0	0.3	53.6610343061956	7812	3.15041	4.067511	-5.129718	9.197229	8.635264	1.628932	17226.019049	1468.786256558	46.35	39.45	53.25	42.9	49.35	3.49		55	4.82	15.9	20.7	41.103	55.4	414.4	476.4	371.4				136	83.3	209.1	154.2	95.3	235.2							
La Plata, CO	CO	08067	0	32.1926854453329	6.9	89.3	0.6	50.8909674336042	44981	2.22172	11.845769	2.897912	8.947857	8.181473	1.662307	18140.207670	1460.403524459	47.55	42.5	52.55	44.2	50.8	2.53	18	69	4.24	13.3	40.6	56.422	69.2	428.5	486	378.5	28.9	22.2	37	121.2	102.6	142.3	193.1	168.2	220.6	44.8	36.2	54.7	39.9	50.7	308.6	6.6
Larimer, CO	CO	08069	1	32.3176459636265	1.4	93.5	1.0	49.9630209865842	251494	1.60459	10.544752	0.931506	9.613246	9.817166	1.422175	16415.456825	1254.484565751	47.65	43.75	51.55	41.35	54	3.34	17	55	4.54	13	42.5	56.447	69.2	422.3	483.5	378.5	38.3	35	41.8	124.8	116.8	133.3	174.3	163.8	185.3	41.5	38.1	45.2	37.6	47.8	245.5	12
Las Animas, CO	CO	08071	0	22.17125382263	3.7	86.2	0.6	48.9314131649898	15207	2.00886	17.073758	6.242347	10.831411	9.725133	1.172150	18133.737742	1242.234762392	45.1	38.9	51.3	37.45	53.3	2.88	19	69	4.98	17.3	19.3	38.134	58.0	347.8	392.9	316.6	48.4	36	64.1	56.8	38.3	82.3	106	78.5	140.5	50.5	37.8	66.6	44.6	59	319.2	
Lincoln, CO	CO	08073	0	40.7632263660017	1.7	87.8	5.2	56.6945950386069	6087	1.61594	17.220331	6.285922	10.934409	9.961341	1.107665	17628.005154	1157.279065259	40.5	33.65	47.35	33.95	47.55	2.87		55	4.98	17.2	15.3	41.616	69.8	397.5	536.3	308.1	48	27.7	79				209.4	142.8	297.1	50.9	29.5	82.9				
Logan, CO	CO	08075	0	25.5734302023871	1.1	93.0	2.3	52.8384705423332	20504	1.22997	16.966901	5.569147	11.397754	10.224405	1.220594	16804.403010	1061.607469651	48.9	43.2	54.65	40.75	57.45	3.16	20	55	5.08	17.9	18.0	40.961	66.1	478.3	526.8	450.6	45.9	34.5	60.1	135.1	106.4	169.5	171.6	138.5	210.3	59.1	46	74.9	46.4	76.4	371.1	
Mesa, CO	CO	08077	1	25.820167882409	1.8	94.2	0.7	48.9776783794245	116255	1.47285	13.827011	3.861283	9.965728	8.501034	1.368193	17290.074440	1227.73958607	51.5	46.5	56.5	45.65	57.8	2.09	14	69	4.92	17.8	25.4	52.067	66.2	441.1	518.2	382.6	36.4	32.3	40.9	126.5	115.9	137.9	179.9	166.5	194.1	61.5	56.3	67.2	52.1	74	358.3	18.6
Mineral, CO	CO	08079	0	36.272040302267	2.4	99.0	0.4	51.0228640192539	831	3.21136	6.354338	-3.299984	9.654322	8.987262	1.894425	17443.944113	1503.399784308	48.6	40.75	56.5	47.25	50	2.85		69	4.78	15.7	39.1	53.438	65.4	361.5																		
Moffat, CO	CO	08081	0	29.4528332521513	1.8	95.3	0.4	51.8507281553398	13184	1.94815	12.305104	3.179867	9.125237	9.808041	1.146876	17251.114570	1153.252906764	50.6	44.5	56.8	43.65	57.4	2.23	29	55	5.06	16.4	14.9	53.587	63.1	470.2	519.3	433.5	52.2	35	74.5	114.1	80.3	157.4	140.8	101	190.9	59.3	40.3	83.7	57.4	62.4	326.2	
Montezuma, CO	CO	08083	0	22.683865127857	12.6	84.0	0.3	49.1649181703735	23830	1.99752	14.623191	5.819481	8.80371	7.673650	1.213974	18093.373600	1339.540196085	48.55	42.65	54.5	41.85	55.85	1.59	14	69	5.34	17.4	26.5	44.103	58.7	436.1	514.2	376.6	37.2	28.2	48.4	103.3	82.5	128.2	180.4	150.6	214.7	53.7	43	66.6	40.8	72.3	293.7	19
Montrose, CO	CO	08085	0	29.699958372026	2.1	92.1	0.5	49.2282842785355	33432	1.91971	13.649365	4.115091	9.534274	8.212813	1.183113	17285.111151	1276.244271404	46.2	40.7	51.6	40.35	52.4	1.47	16	69	4.54	16.7	22.3	46.59	62.2	419.4	461.7	388.8	32	25.3	40	133.5	113	156.8	139.5	118.9	162.9	57.6	48.7	67.8	47.8	68.3	349.5	15.3
Morgan, CO	CO	08087	0	23.1131316382362	1.4	81.8	0.5	50.1012108498031	27171	1.32823	17.382294	5.786800	11.595494	10.008141	1.035527	17172.747180	1073.375583032	42.6	36.95	48.2	34	51.35	3.01	23	55	5.5	18.8	14.6	43.111	60.2	417.2	516.7	343.9	42.3	32.4	54.4	101.4	79.7	127.4	160.7	131.9	193.9	49.8	39.1	62.5	42.8	59.1	292.5	14.7
Otero, CO	CO	08089	0	17.2775968910829	2.5	81.7	1.0	48.8700704051992	20311	1.27874	19.773721	8.008716	11.765005	9.983450	0.973954	18106.818071	1211.031845644	46.2	40.55	51.9	39.2	53.9	2.54	14	69	4.9	19	15.4	34.142	59.0	432.5	538.5	351.6	59.1	46.1	74.8	86.9	65	114.4	164.9	133.4	202.2	52.1	40.4	66.5	51.3	54.8	301.4	16.1
Ouray, CO	CO	08091	0	39.8707502107334	2.1	98.0	0.2	50.5077498663816	3742	2.74773	9.107391	-0.181756	9.289147	8.366271	1.487643	16830.467395	1424.320607164	49.9	43.7	56.2	45.65	54.15	1.78		69	5.14	16	41.3	58.393	67.9	410.7	466.3	370.9				143	85.8	230.1	116.5	66.3	196.3	69	38.2	116.1				
Park, CO	CO	08093	1	48.9819833015966	1.9	96.8	0.8	51.7110789781726	14523	2.98288	8.037160	-2.171783	10.208943	8.920710	1.135278	17113.557256	1398.631746433	48.95	42.65	55.2	44.1	53.5	3.26	18	55	4.62	14.5	32.6	64.098	70.1	389.9	412.3	364.1	38.8	23.3	60.1	123	88.6	167.1	114.4	81.3	156.9	54.4	35.4	79.3	55.1	51.3	334.4	13.9
Phillips, CO	CO	08095	0	24.8441247002398	0.9	94.3	0.4	48.3035714285714	4480	1.16108	17.142329	5.662539	11.47979	10.234007	1.277351	16754.521169	1047.574993263	35.85	29.25	42.45	27.85	44.45	3.85		69	5.34	17.4	16.0	44.084	69.1	388.4	454.7	346							162.9	101.9	249.9	65.6	41.1	101.8			432.4	
Pitkin, CO	CO	08097	0	32.5245441795231	0.7	95.6	0.6	53.5099515868747	14872	2.75963	6.364003	-2.882409	9.246412	8.453196	2.000236	16752.063068	1453.325102659	40.05	33.15	46.95	37.3	42.45	2.98	26	69	4.54	14	59.7	64.502	81.7	416.9	434.7	395.4	30.1	16.8	49.2	122.2	88.9	165	160.5	121.2	208.7	25	13.5	42				
Prowers, CO	CO	08099	0	22.9452825940104	2.0	80.7	0.4	50.252019609197	14483	1.11224	20.006112	7.625224	12.380888	10.270813	1.183437	17824.432283	1168.669967047	43.05	37.25	48.95	34.45	51.9	2.23	10	69	4.94	19.2	18.3	33.969	58.2	402.3	428.9	388.4	51.2	35.5	71.5	102	71.4	141.6	113.6	80.1	156.4	45.5	31.5	63.7	42.6	51.5	220.3	
Pueblo, CO	CO	08101	1	18.2603037204622	2.6	82.4	2.3	48.9397195204705	141472	1.49269	18.625515	7.677520	10.947995	9.658134	0.958773	17999.598269	1207.748446682	47.35	42.35	52.4	41.4	53.9	2.1	15	55	5.98	20.4	20.9	40.699	65.0	460.7	554.6	389.6	50.5	45.9	55.4	126.7	116.6	137.5	159	147	171.8	51.3	46.8	56.2	41.1	65.1	284.6	17.6
Rio Blanco, CO	CO	08103	0	27.2034048590176	1.6	96.7	0.4	50.4677581022386	5986	1.92743	11.888585	2.820975	9.06761	9.313162	1.394126	17160.580894	1199.544353665	52.35	46.2	58.5	46.9	57.8	1.51	15	69	4.9	16.5	22.7	57.992	65.2	406	480.5	354.5							181.3	116.3	269.1	67.2	40.4	104.7			477.5	
Rio Grande, CO	CO	08105	0	23.4136234136234	2.1	76.5	0.4	49.2709256424716	12413	2.4774	10.624650	0.418318	10.206332	9.218898	1.247511	18247.585868	1504.340083838	45.95	39.65	52.25	39.95	52.3	2.62	7	69	4.84	17.5	19.2	39.871	53.1	414	501.5	354.2	48.9	34.6	67.7	113.4	80.8	155.6	149.3	111.2	197.2	38.4	25.9	55.4		47.9	207.9	
Routt, CO	CO	08107	0	34.3886052136522	1.1	98.1	0.3	53.8293550025394	20393	2.33629	8.908042	-0.441337	9.349379	9.483384	1.978708	17475.497951	1321.146580185	44.45	39.15	49.75	40.15	48.1	3.33	30	55	4.24	14	45.6	60.876	73.8	421.1	450.1	393.6	36.4	22.6	54.9	127.2	94.1	168	172.2	129.3	224	49.6	32.5	71.6	56.6		320.8	
Saguache, CO	CO	08109	0	31.2058023572076	3.3	74.1	0.3	50.4309616359642	5917	2.47064	9.865235	-0.267387	10.132622	9.021616	1.076393	17553.440128	1482.353374	34.8	27.35	42.2	27.5	42.15	1.78	7	69	4.98	15.6	19.4	30.43	60.9	353.6	410	304.6							115.7	67.1	185.2							
San Juan, CO	CO	08111	0	31.9548872180451	1.3	97.7		52.5089605734767	558	3.47304	3.995282	-4.828570	8.823852	8.432813	2.467035	17048.105777	1501.396201762	45.6	35.55	55.6	46.65	44.65	3.41		69	4.84	15.3	30.8	43.783	58.1																			
San Miguel, CO	CO	08113	0	42.1411578112609	1.2	94.6	0.4	54.7012435547467	6594	2.99338	11.171381	2.183048	8.988333	7.999565	1.445943	16964.657405	1304.846761524	41.75	34.6	48.85	36.9	45.6	1.35		69	5.02	15.1	48.8	66.399	82.6	541	549.2	518.7							142.3	63.8	270.4							
Sedgwick, CO	CO	08115	0	22.6291441788743	0.7	92.4	0.7	50.0182016745541	2747	1.08963	17.023017	5.482931	11.540086	10.333150	1.289211	16539.016203	1047.224721392	49.05	42.1	56	38.4	59.75	3.68		69	4.92	15.9	12.7	37.625	61.4	440.1	541.9	392																
Summit, CO	CO	08117	0	49.0697987178912	0.9	93.8	0.8	58.166298624087	23548	3.09019	5.129759	-4.233771	9.36353	9.052559	1.668989	16774.597696	1446.21933167	38.2	31.85	44.5	32.45	42.25	3.03	29	55	4.58	13.1	49.9	68.75	83.7	369.5	356.4	405.9	38.4	19.5	65	149.7	109.7	199.8	133.1	101.2	172.2							
Teller, CO	CO	08119	1	43.8837053456364	2.0	96.8	0.8	50.6543420092435	20555	2.68057	10.111711	-0.549958	10.661669	9.185200	1.390467	17017.135853	1393.951645338	50.75	44.75	56.7	45.6	55.8	5.52	10	55	4.76	15.7	31.0	58.08	70.2	498.9	548.7	456.1	29	19.3	42.2	175.2	140.3	216.6	176.6	140.3	219.6	40.3	28.4	55.6	35.5	46	182.7	19.7
Washington, CO	CO	08121	0	20.715059588299	1.0	97.0	0.1	50.8323183110028	4926	1.39108	16.894639	5.842103	11.052536	10.117295	1.198743	17144.715479	1099.256551153	45.15	38.25	52.05	35.75	54.55	3.68		55	4.98	16.3	18.3	39.735	60.0	442.4	415.2	484.8	57.1	34.2	92.2	120.6	70.6	197.4	154.1	100.9	230.4							
Weld, CO	CO	08123	1	31.1022065693955	1.6	84.1	0.8	50.1376177211832	180936	1.46872	16.754921	5.615548	11.139373	9.957876	1.025559	16893.143132	1084.39336463	42.05	37.25	46.95	36.9	47.35	1.92	16	55	5.44	18.8	25.4	55.596	62.8	418.5	468.1	386	41.8	37.5	46.4	108.2	99.4	117.6	139.9	128.3	152.3	55	50.1	60.3	49.3	63.2	331.6	15
Yuma, CO	CO	08125	0	23.4769364664926	0.8	95.3	0.2	49.1819936998273	9841	1.19762	17.579107	6.090266	11.488841	10.235271	1.309444	16994.084840	1073.972772175	44.5	37.6	51.3	35.95	53.35	3.59	13	69	4.96	16	17.8	42.114	56.4	425.1	517.3	354.8	49.6	33	72.1	102.1	69.2	146.4	158.8	115.3	214.2	50.6	34.5	72.3	51.5		270.2	
Fairfield, CT	CT	09001	1	17.6682115737424	0.5	81.1	10.9	48.2826799551762	886843	0.07282	14.340094	6.284654	8.05544	12.761218	3.420694	15178.818074	806.12330966	45.05	41.95	48.1	40.5	50.1	0.83	17	79	5.62	16.8	43.6	81.268	77.1	513.5	587.6	463.7	46.6	44.7	48.6	143.7	139.1	148.4	181.7	176	187.5	59.1	56.9	61.3	55.7	64.9	344.3	19.4
Hartford, CT	CT	09003	1	14.3023189178549	0.6	78.5	12.6	48.0966141419044	857752	0.06237	13.843740	5.721151	8.122589	11.984771	3.393193	14482.072325	807.028066216	46.7	43.7	49.65	41.05	53.1	0.58	16	54	6.7	19.6	33.3	62.59	72.0	500	587.3	441.4	48.3	46.4	50.3	133.7	129.3	138.2	170.4	165	176	68	65.7	70.3	59.6	80.5	389.9	23.2
Litchfield, CT	CT	09005	0	16.5626256797636	0.5	96.8	1.4	48.8734473882092	182193	0.23333	12.699298	4.673754	8.025544	11.943170	3.421714	14488.753871	802.762914721	52.9	48.5	57.35	49.7	56.35	0.91	15	54	6	17.2	32.3	69.639	67.1	494	562.8	446	46.1	42.3	50.3	133.5	124.4	143.2	141.8	131.8	152.5	66.1	61.5	71	59.2	75.5	374.2	23.4
Middlesex, CT	CT	09007	1	22.0625923253976	0.6	92.6	5.1	48.7479928548858	155976	0.06209	13.574942	6.523351	7.051591	12.471839	3.423643	14991.612453	810.596244702	51.25	46.05	56.4	46.1	56.75	0.76	17	54	6.3	19.9	37.0	74.906	75.4	507.6	569	467.6	42.4	38.3	46.8	147	136.6	158	164.6	152.7	177.3	69.8	64.6	75.4	67.2	74.3	402.3	23.6
New Haven, CT	CT	09009	1	14.6363238217161	0.7	81.0	12.2	48.0494121416297	824008	0.07074	13.891645	6.339083	7.552562	12.561621	3.327638	15012.995114	808.902773286	50.75	47.5	54	45.75	56.45	0.72	15	54	7.44	21.9	31.7	61.114	75.0	524.7	607.2	472.4	48.1	46.1	50.1	136.7	132.1	141.4	162.2	156.7	167.9	75	72.5	77.5	66.9	87.5	425.9	26.3
New London, CT	CT	09011	1	19.7669297043193	1.9	89.1	6.5	49.4704501945285	259088	0.0563	13.912701	6.235619	7.677082	12.193261	3.372349	15052.102312	813.664656752	49.7	45.3	54.1	43.5	56.35	0.83	16	54	6.9	20.6	30.6	65.419	73.9	525.4	593.1	481.6	48.8	45.2	52.5	137.7	129.6	146.2	144.1	135.2	153.5	74.7	70.3	79.3	64.3	90.1	426.7	25.8
Tolland, CT	CT	09013	1	26.1495775789507	0.6	93.5	3.2	50.1473996069344	136364	0.15984	13.250432	5.237879	8.012553	11.865812	3.252065	14480.030500	805.454971276	46.3	41.2	51.45	40.8	52.15	0.71	17	54	5.98	19.1	36.8	77.175	74.1	481.6	532.9	446.7	49.2	44.1	54.7	136	124.7	148.1	165.7	152.1	180.2	63.1	57.3	69.3	58.4	69.4	366.2	20.9
Windham, CT	CT	09015	0	17.6648576894546	1.2	93.0	2.4	49.3092922422565	109091	0.11798	13.393693	5.337863	8.05583	11.791006	3.310216	14538.698305	813.607657511	51.65	46.8	56.45	47.7	55.8	1.16	17	31	7.72	20.7	21.3	59.37	67.3	432.8	507.2	385.1	42.2	37.1	47.8	112	100.7	124.2	113.4	100.9	126.9	73.5	66.6	80.8	56.6	96.7	395.3	29.2
Kent, DE	DE	10001	1	20.0217757438628	1.3	75.1	21.8	48.2016148764375	128029	0.01271	16.182639	8.972989	7.20965	13.973609	3.050821	15657.251662	896.69748111	46.45	41.3	51.55	38.85	54.85	0.26	15	112	9.98	27.7	20.0	53.183	72.8	546.7	655.7	459.7	46.9	42.2	51.9	121.1	110.8	132	219.4	204.5	235.2	87.2	80.8	94	73.2	106.1	479	30.5
New Castle, DE	DE	10003	1	17.4575077642909	0.6	74.3	21.0	48.5628616833078	503910	0.03962	16.385968	7.830083	8.555885	14.205408	3.044225	15192.096722	881.524243997	48.05	44.35	51.65	43.5	53.05	0.55	20	112	7.78	21.8	32.4	62.474	76.6	509.9	598.4	445.2	47.9	45.3	50.6	131.3	125.5	137.4	186.6	178.8	194.6	72.6	69.3	76	66.3	81.5	404.4	24.6
Sussex, DE	DE	10005	0	20.7027836301681	1.0	81.3	15.6	48.8565992926365	156638	0.01138	16.357156	9.569274	6.787882	13.827496	3.081806	15785.876086	930.199227297	54.45	49.5	59.35	44.75	65.1	0.25	15	99	8.76	25.1	21.2	51.046	66.6	508.7	596.2	438.4	50.4	46.6	54.5	126.9	118	136.4	154.6	145.3	164.4	84	79.2	89.1	72.3	99	456.1	30.2
District of Columbia, NA		11001	1	26.5775732037698	0.8	32.2	61.3	47.08710115565	572059	0.04895	17.515676	8.104445	9.411231	14.754790	2.956520	15132.723432	917.652386485						0.62	17	99	8.58	20.3	49.2	58.526	74.0	459.2	556.7	395.9	46.3	43.9	48.9	128.3	122.8	133.9	185.1	177.5	193	58.4	55.6	61.2	45.9	77.2	291.3	24.7
Montgomery, NA		11031																																															
Alachua, FL	FL	12001	1	36.7461084791647	0.8	75.1	20.0	48.8197104906976	217955	0.03842	26.093393	16.348742	9.744651	10.127749	3.482366	17854.146336	1316.234479733	44.3	39.15	49.45	39.75	49.2	1.56	17	61	8.18	20.8	40.9	40.644	77.3	497	581.1	434.9	47.9	43.7	52.3	137.6	127.8	147.9	158.4	147.1	170.3	78.8	73.3	84.5	64.1	97.8	443.1	26.1
